isNewFlavor,In menu,name,category,category,description,tastingNotes,price,instagramUrl,Total cup,Total amount,Quantity,Capacity
true,,Vignola Cherry I.G.P. Sorbet,Seasonal Fruit,fruits,"เชอร์รีสายพันธุ์ดั้งเดิม Mora di Vignola จากแคว้น Emilia-Romagna อิตาลี (I.G.P.) พิเศษด้วยการคัดมือและบินตรงถึงไทยภายในวันเดียวเพื่อความสดสูงสุด ให้โปรไฟล์ของ Black Cherry, Red Berry และ Floral ที่เข้มข้น พร้อมความหวานและกรดผลไม้ที่สมดุล",,450,https://www.instagram.com/p/DaIZloRIGDJ,,,,
true,,Hikawa Hakuhou Peach Sorbet,Seasonal Fruit,fruits,พีชเนื้อขาวสายพันธุ์หอมในกลุ่ม Hakuhō Tokusen เกรด 特選品 หรือเกรดสูงสุดของสวน Okita โดยคัดผลที่อยู่บริเวณ ยอดต้นและปลายกิ่ง ซึ่งได้รับแสงแดดเต็มที่ที่สุด ทำให้ผลพัฒนา น้ำตาล กลิ่น และคุณภาพได้สมบูรณ์กว่า พร้อมผลขนาดใหญ่ ทรงสวย และผ่านการคัดเลือกเฉพาะลูกที่ดีที่สุดของฤดูกาล ให้กลิ่นพีชขาวสุก น้ำผึ้ง ลูกแพร์ และดอกไม้ขาวอ่อน ๆ หวานหอม สดใส ฉ่ำน้ำ และมีความ floral ที่สง่างาม,,450,,,,,
true,,Shimane Delaware Grape Sorbet,Seasonal Fruit,fruits,องุ่น Delaware จากจังหวัด Shimane ประเทศญี่ปุ่น องุ่นสายพันธุ์คลาสสิกที่คนญี่ปุ่นรักมายาวนาน ผลเล็กแต่กลิ่นหอมจัดของ องุ่นแดง น้ำองุ่น และลูกอมองุ่นญี่ปุ่น รสหวานฉ่ำ กรดสดใส มีกลิ่นฟุ้งเป็นเอกลักษณ์,,450,,,,,
true,,Quincy Melon Sorbet,Seasonal Fruit,fruits,เมลอนเนื้อส้มสายพันธุ์ Quincy จากจังหวัดอิบารากิ ประเทศญี่ปุ่น คัดสรรในช่วงที่ผลสุกเปล่งปลั่งที่สุด ให้มิติความหวานหอมลึกล้ำ ซับซ้อนด้วยโน้ตของน้ำผึ้ง ผลไม้สุก และกลิ่นดอกไม้บางๆ ผ่านกระบวนการเฉพาะที่ทำให้เนื้อสัมผัสยังเนียนฉ่ำและคงความหอมเข้มข้นไว้ได้ในทุกคำ,,400,https://www.instagram.com/p/DZw9fIZoFSf,,,,
true,,Andes Melon Sorbet,Seasonal Fruit,fruits,เมลอนเนื้อเขียวสายพันธุ์ Andes จากจังหวัดอิบารากิ ประเทศญี่ปุ่น แหล่งปลูกชั้นนำที่เก็บเกี่ยวในช่วงพีคที่สุด โดดเด่นด้วยกลิ่นหอมสดชื่น คมชัด เป็นเอกลักษณ์ของเมล่อนญี่ปุ่น นำมาทำเป็น Sorbet ด้วยเทคนิคพิเศษที่ควบคุมปริมาณน้ำและน้ำตาลอย่างสมดุล จนได้เนื้อสัมผัสเนียนฉ่ำ กักเก็บความหอมละมุนไว้ได้อย่างสมบูรณ์แบบ,,400,https://www.instagram.com/p/DZw9fIZoFSf,,,,
true,,Ania Strawberry Sorbet,Seasonal Fruit,fruits,สตรอว์เบอร์รีสายพันธุ์พิเศษ Ania จากอิตาลี ระดับท็อปคลาสในคอลเลกชัน Waitrose No.1 ของอังกฤษ โดดเด่นด้วยกลิ่นหอมของสตรอว์เบอร์รีป่า แยมผลไม้ และราสป์เบอร์รี่,,400,https://www.instagram.com/p/DaDRvrZoKSu,,,,
false,,Amalfi Lemon I.G.P. Sorbet,Seasonal Fruit,fruits,เลมอนที่ขึ้นชื่อว่าอร่อยที่สุดตลอดกาลจากเมือง Amalfi โดดเด่นด้วยเปลือกที่ทานได้ อุดมด้วย Aromatic Oil หอมฟุ้งโทนทะเลสดชื่นโดยไม่ขม มอบรสเปรี้ยวสะอาดและมีชีวิตชีวา,,400,https://www.instagram.com/p/DZ7jsDcIKua,,,,
true,,Ania Strawberry Sherbet (Double Cream),Seasonal Fruit,fruits,ใช้สตรอว์เบอร์รีสายพันธุ์พิเศษ Ania ระดับท็อปคลาสเช่นเดียวกับตัว Sorbet แต่นำมาผสานความนุ่มนวลด้วย Fresh Double Cream รังสรรค์เป็น Sherbet เนื้อเนียนละเอียด ที่ช่วยเปลี่ยนความหอมอบอวลของผลไม้ให้กลมกล่อมและละมุนละไมยิ่งขึ้นในทุกคำ,,400,https://www.instagram.com/p/DaDRvrZoKSu,,,,
true,,Nectarprima Yellow Nectarine Sorbet,Seasonal Fruit,fruits,เนคทารีนเนื้อสีทองสายพันธุ์ Nectaprima จากสเปน คัดสรรในช่วงที่ผลเปล่งประกายสูงสุด โดดเด่นด้วยสมดุลอันยอดเยี่ยมระหว่างความหวานและกรดผลไม้ให้รสชาติสว่างสดใส ซับซ้อนด้วยมิติของแอปริคอต มะม่วงสีทอง และดอกไม้สีขาว เป็น Sorbet ที่ดึงคาแรกเตอร์ความสดชื่นของฤดูร้อนยุโรปออกมาได้อย่างดี,,400,https://www.instagram.com/p/DZhDJp0oHPp,,,,
false,,Long Kong ลองกอง Sorbet,Seasonal Fruit,fruits,ลองกองจากปราจีนบุรี โดดเด่นด้วยสมดุลรสหวานอมเปรี้ยวที่กลมกล่อม ซ่อนมิติความหอมของน้ำผึ้งอ่อน ดอกไม้สีขาว องุ่นขาว และลูกแพร์ ผ่านกระบวนการที่มีความพิถีพิถัน ต้องใช้มือแกะและคัดเมล็ดออกอย่างทะนุถนอมเพื่อหลีกเลี่ยงความขม มอบสัมผัสของเนื้อลองกองเน้นๆ ที่หอมหวานสดชื่นในทุกคำ,,300,https://www.instagram.com/p/DZ5HLPsoJcM,,,,60
true,,Panama Geisha Lamastus Boquete Elida Torre Estate,Coffee,coffee,"เมล็ดกาแฟ Geisha จาก Elida Estate ประเทศปานามา ปลูกบนความสูง 1,850 เมตร ผ่านกระบวนการแบบ Washed Process และคั่วอย่างพิถีพิถันโดย Vendetta Roaster และเปลี่ยนเป็นไอศกรีมเบสนมด้วยเทคนิคการสกัดกลิ่นที่ยังคงความละเอียดอ่อนของกาแฟ Filter ไว้ได้อย่างสมบูรณ์ ให้มิติรสชาติพุ่งกระแทกเป็นระลอกคลื่น พร้อมทิ้งสัมผัสหวานหอมของเกสรดอกไม้ตลบอบอวลใน Aftertaste อย่างยาวนาน","พีช, ดอกส้มสีขาว, แอปริคอต, เบอร์กาม็อต, น้ำผึ้ง",600,https://www.instagram.com/p/DZpUDy6oClY,,,0,30
true,✅,Costaricensis Vanilla ,Classic,classic,"วานิลลาสายพันธุ์ลูกผสมจากคอสตาริกา หนึ่งในกลุ่ม ""Uncolonised Vanilla"" แห่งโลกใหม่ที่ปลูกด้วยระบบวนเกษตร (Agroforestry) ภายใต้ร่มเงาไม้ใหญ่ และผ่านการบ่มอย่างพิถีพิถันนานหลายเดือน ฉีกกรอบวานิลลาดั้งเดิมด้วยมิติความหอมที่ปราศจากกลิ่นครีมคัสตาร์ด แต่โดดเด่นด้วยโน้ตของอัลมอนด์คั่ว เฮเซลนัท ดาร์กช็อกโกแลต และแฝงความฉ่ำของผลไม้สุก ให้รสสัมผัสที่อบอุ่น ล้ำลึก และสะท้อนเอกลักษณ์ของสายพันธุ์ออกมาได้อย่างตรงไปตรงมา",,550,https://www.instagram.com/p/DaNcKbKEstw,,0,28,170
false,✅,Bronte Pistachio D.O.P,Classic,classic,ถั่วพิสตาชีโอ D.O.P. จากเมือง Bronte โดยฟาร์ม Don Tanu ที่คัดสรรคุณภาพอย่างเสถียร นำมาคั่วอย่างแม่นยำเพื่อรักษามิติความหอมสดชื่น ก่อนเข้ากระบวนการโม่หิน (Melanger) แบบควบคุมอุณหภูมิจนได้ความละเอียดที่สมดุลที่สุด ให้เนื้อสัมผัสเนียนละเอียด ปลดปล่อยน้ำมันธรรมชาติอย่างพอดี รักษารสชาติให้หอมละมุนและคลีนที่สุดโดยไม่เสียคาแรกเตอร์จากความร้อนสะสม,,350,https://www.instagram.com/p/DaAyCzVIClH,,0,46,100
false,,Red Rock Macadamia,Classic,classic,แมคคาเดเมียเกรดประกวด Red Rock จากเมือง Bundaberg ออสเตรเลีย ปลูกบนดินแดงที่อุดมด้วยแร่ธาตุ รอบนี้ยกระดับความคราฟต์ด้วยกระบวนการโม่หินเพื่อสกัดรสชาติแบบ Low Impact อย่างทะนุถนอม ให้สัมผัสครีมมี่นุ่มลื่น โดดเด่นด้วยมิติความหอมอบอุ่นของเนยคั่ว ไวท์ช็อกโกแลต เมเปิล และขนมปังบริยอชอบอบใหม่ ให้รสชาติหอมมัน กลมกล่อม และล้ำลึกเหนือระดับ,,350,https://www.instagram.com/p/DQWqO67kv0Q,,,,80
